age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_path
24,"{'x': 872, 'y': 344, 'w': 181, 'h': 181, 'left_eye': (994, 415), 'right_eye': (927, 414)}",0.9,"{'Woman': 99.93563294410706, 'Man': 0.06436273106373847}",Woman,"{'asian': 1.8711462616920471, 'indian': 1.5492098405957222, 'black': 0.14178412966430187, 'white': 41.28505289554596, 'middle eastern': 9.027030318975449, 'latino hispanic': 46.12577557563782}",latino hispanic,"{'angry': 2.529353793079281e-06, 'disgust': 9.281653223780495e-09, 'fear': 0.0023907909053377807, 'happy': 1.0842441389158353e-07, 'sad': 2.5873395223183215e-11, 'surprise': 99.99760389328003, 'neutral': 4.1301955165385225e-16}",surprise,image/child/image0.jpeg
24,"{'x': 704, 'y': 289, 'w': 115, 'h': 115, 'left_eye': None, 'right_eye': None}",0.97,"{'Woman': 6.731374561786652, 'Man': 93.26862096786499}",Man,"{'asian': 0.13205927885304564, 'indian': 0.2551736229389085, 'black': 0.012522882771645205, 'white': 83.74257586852168, 'middle eastern': 12.138231822146881, 'latino hispanic': 3.719439951744077}",white,"{'angry': 2.1146610030053892e-09, 'disgust': 2.811536446194884e-15, 'fear': 7.5487197884403034e-06, 'happy': 99.99834895124131, 'sad': 3.1841649438796902e-06, 'surprise': 2.6571083723863293e-09, 'neutral': 0.0016382170609742328}",happy,image/child/image14.jpeg
31,"{'x': 343, 'y': 152, 'w': 252, 'h': 252, 'left_eye': None, 'right_eye': None}",0.98,"{'Woman': 91.9421911239624, 'Man': 8.057808876037598}",Woman,"{'asian': 16.16731435060501, 'indian': 4.161455854773521, 'black': 0.7354166824370623, 'white': 48.430442810058594, 'middle eastern': 16.083626449108124, 'latino hispanic': 14.421744644641876}",white,"{'angry': 0.16512449005240085, 'disgust': 0.0003854893753003702, 'fear': 91.05098140847461, 'happy': 0.0006466688180445775, 'sad': 8.341486256299765, 'surprise': 0.0020561913238535535, 'neutral': 0.43932484112082015}",fear,image/child/image15.jpeg
21,"{'x': 1215, 'y': 468, 'w': 162, 'h': 162, 'left_eye': (1319, 532), 'right_eye': (1260, 533)}",0.94,"{'Woman': 0.04594089987222105, 'Man': 99.95405673980713}",Man,"{'asian': 71.45693302154541, 'indian': 5.7964906096458435, 'black': 1.2409918941557407, 'white': 0.8179372176527977, 'middle eastern': 0.11578589910641313, 'latino hispanic': 20.571856200695038}",asian,"{'angry': 10.919336974620819, 'disgust': 0.06241254159249365, 'fear': 11.769905686378479, 'happy': 0.010821517935255542, 'sad': 35.181596875190735, 'surprise': 0.000657972941553453, 'neutral': 42.055270075798035}",neutral,image/child/image1.jpeg
46,"{'x': 436, 'y': 68, 'w': 796, 'h': 796, 'left_eye': (996, 342), 'right_eye': (664, 364)}",0.95,"{'Woman': 0.7236826233565807, 'Man': 99.27632212638855}",Man,"{'asian': 38.465733711036, 'indian': 8.936144091350544, 'black': 8.721944395071937, 'white': 4.6018371460631915, 'middle eastern': 2.1893528474148694, 'latino hispanic': 37.0849892991794}",asian,"{'angry': 4.868211597204208, 'disgust': 0.019669061293825507, 'fear': 0.2629246795549989, 'happy': 7.517793029546738, 'sad': 3.8284868001937866, 'surprise': 2.3380713537335396, 'neutral': 81.1648428440094}",neutral,image/child/image12.jpeg
26,"{'x': 884, 'y': 218, 'w': 71, 'h': 71, 'left_eye': None, 'right_eye': None}",0.95,"{'Woman': 0.03682728565763682, 'Man': 99.96317625045776}",Man,"{'asian': 6.417196232177957e-05, 'indian': 3.548146594312129e-05, 'black': 99.9998927116394, 'white': 5.823638446478263e-10, 'middle eastern': 1.1838390510943153e-10, 'latino hispanic': 6.089249637852845e-06}",black,"{'angry': 6.40510373657002e-05, 'disgust': 1.658060935180242e-07, 'fear': 0.11464246579051425, 'happy': 99.85172154286843, 'sad': 0.0005583155387471067, 'surprise': 0.008734431735465991, 'neutral': 0.024275456979164393}",happy,image/child/image6.jpeg
21,"{'x': 896, 'y': 174, 'w': 134, 'h': 134, 'left_eye': (988, 228), 'right_eye': (941, 226)}",0.91,"{'Woman': 0.13446470256894827, 'Man': 99.86553192138672}",Man,"{'asian': 99.59690575636557, 'indian': 0.02516455124499038, 'black': 0.0013578395937886387, 'white': 0.028444366281964926, 'middle eastern': 2.695207078189758e-05, 'latino hispanic': 0.34809541464204613}",asian,"{'angry': 0.00806760313702114, 'disgust': 4.739451757601329e-09, 'fear': 0.0005467307998161227, 'happy': 98.2350347322267, 'sad': 0.0009061747903380293, 'surprise': 0.00417898386126378, 'neutral': 1.7512696088873874}",happy,image/child/image7.jpeg
35,"{'x': 0, 'y': 0, 'w': 848, 'h': 609, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 28.57040762901306, 'Man': 71.42959237098694}",Man,"{'asian': 0.42823142855090757, 'indian': 0.1641032556023293, 'black': 0.007040127709148128, 'white': 87.31210979078891, 'middle eastern': 4.354792686725535, 'latino hispanic': 7.733720364127116}",white,"{'angry': 7.743448336487508e-05, 'disgust': 6.237297934003332e-07, 'fear': 1.0424974994364382, 'happy': 33.355473475995844, 'sad': 0.02409238954184031, 'surprise': 65.57637863440769, 'neutral': 0.0014727825209406087}",surprise,image/child/image13.jpeg
22,"{'x': 296, 'y': 380, 'w': 208, 'h': 208, 'left_eye': (441, 454), 'right_eye': (355, 456)}",0.94,"{'Woman': 0.024012030917219818, 'Man': 99.97598528862}",Man,"{'asian': 40.0434285402298, 'indian': 3.3541128039360046, 'black': 1.0355085134506226, 'white': 27.529171109199524, 'middle eastern': 6.952308863401413, 'latino hispanic': 21.0854709148407}",asian,"{'angry': 96.59372012690066, 'disgust': 9.782005288744488e-09, 'fear': 0.014401865803227925, 'happy': 6.732881893192557e-06, 'sad': 3.0293313900433314, 'surprise': 0.00038127443533594234, 'neutral': 0.3621575223690245}",angry,image/child/image10.jpeg
23,"{'x': 805, 'y': 309, 'w': 252, 'h': 252, 'left_eye': (975, 403), 'right_eye': (878, 410)}",0.95,"{'Woman': 98.96990656852722, 'Man': 1.0300922207534313}",Woman,"{'asian': 30.419430782727098, 'indian': 5.390619384124205, 'black': 2.766961375410721, 'white': 21.371189817332006, 'middle eastern': 6.834426591924022, 'latino hispanic': 33.21737745015352}",latino hispanic,"{'angry': 0.047008905676193535, 'disgust': 0.010015887528425083, 'fear': 0.814763642847538, 'happy': 96.75004482269287, 'sad': 2.3636549711227417, 'surprise': 0.01194566793856211, 'neutral': 0.0025679149985080585}",happy,image/child/image8.jpeg
